"VAR","RESPONSE","MEANING"
"W551_01a",1,"nicht gewählt"
"W551_01a",2,"ausgewählt"
"W552_01a",1,"nicht gewählt"
"W552_01a",2,"ausgewählt"
"W553_01a",1,"nicht gewählt"
"W553_01a",2,"ausgewählt"
"W554_01a",1,"nicht gewählt"
"W554_01a",2,"ausgewählt"
"W555_01a",1,"nicht gewählt"
"W555_01a",2,"ausgewählt"
"W556_01a",1,"nicht gewählt"
"W556_01a",2,"ausgewählt"
"W557_01a",1,"nicht gewählt"
"W557_01a",2,"ausgewählt"
"W558_01a",1,"nicht gewählt"
"W558_01a",2,"ausgewählt"
"W559_01a",1,"nicht gewählt"
"W559_01a",2,"ausgewählt"
"W560_01a",1,"nicht gewählt"
"W560_01a",2,"ausgewählt"
"W561_01a",1,"nicht gewählt"
"W561_01a",2,"ausgewählt"
"W562_01a",1,"nicht gewählt"
"W562_01a",2,"ausgewählt"
"W563_01a",1,"nicht gewählt"
"W563_01a",2,"ausgewählt"
"W564_01a",1,"nicht gewählt"
"W564_01a",2,"ausgewählt"
"W565_01a",1,"nicht gewählt"
"W565_01a",2,"ausgewählt"
"W566_01a",1,"nicht gewählt"
"W566_01a",2,"ausgewählt"
"W567_01a",1,"nicht gewählt"
"W567_01a",2,"ausgewählt"
"W568_01a",1,"nicht gewählt"
"W568_01a",2,"ausgewählt"
"W569_01a",1,"nicht gewählt"
"W569_01a",2,"ausgewählt"
"W570_01a",1,"nicht gewählt"
"W570_01a",2,"ausgewählt"
"W571_01a",1,"nicht gewählt"
"W571_01a",2,"ausgewählt"
"W572_01a",1,"nicht gewählt"
"W572_01a",2,"ausgewählt"
"W573_01a",1,"nicht gewählt"
"W573_01a",2,"ausgewählt"
"W574_01a",1,"nicht gewählt"
"W574_01a",2,"ausgewählt"
"W575_01a",1,"nicht gewählt"
"W575_01a",2,"ausgewählt"
"W576_01a",1,"nicht gewählt"
"W576_01a",2,"ausgewählt"
"W577_01a",1,"nicht gewählt"
"W577_01a",2,"ausgewählt"
"W578_01a",1,"nicht gewählt"
"W578_01a",2,"ausgewählt"
"W579_01a",1,"nicht gewählt"
"W579_01a",2,"ausgewählt"
"W580_01a",1,"nicht gewählt"
"W580_01a",2,"ausgewählt"
"W581_01a",1,"nicht gewählt"
"W581_01a",2,"ausgewählt"
"W582_01a",1,"nicht gewählt"
"W582_01a",2,"ausgewählt"
"W583_01a",1,"nicht gewählt"
"W583_01a",2,"ausgewählt"
"W584_01a",1,"nicht gewählt"
"W584_01a",2,"ausgewählt"
"W585_01a",1,"nicht gewählt"
"W585_01a",2,"ausgewählt"
"W586_01a",1,"nicht gewählt"
"W586_01a",2,"ausgewählt"
"W587_01a",1,"nicht gewählt"
"W587_01a",2,"ausgewählt"
"W588_01a",1,"nicht gewählt"
"W588_01a",2,"ausgewählt"
"W589_01a",1,"nicht gewählt"
"W589_01a",2,"ausgewählt"
"W590_01a",1,"nicht gewählt"
"W590_01a",2,"ausgewählt"
"W591_01a",1,"nicht gewählt"
"W591_01a",2,"ausgewählt"
"W592_01a",1,"nicht gewählt"
"W592_01a",2,"ausgewählt"
"W593_01a",1,"nicht gewählt"
"W593_01a",2,"ausgewählt"
"W594_01a",1,"nicht gewählt"
"W594_01a",2,"ausgewählt"
"W595_01a",1,"nicht gewählt"
"W595_01a",2,"ausgewählt"
"W596_01a",1,"nicht gewählt"
"W596_01a",2,"ausgewählt"
"W597_01a",1,"nicht gewählt"
"W597_01a",2,"ausgewählt"
"W598_01a",1,"nicht gewählt"
"W598_01a",2,"ausgewählt"
"W599_01a",1,"nicht gewählt"
"W599_01a",2,"ausgewählt"
"W601_01a",1,"nicht gewählt"
"W601_01a",2,"ausgewählt"
"W602_01a",1,"nicht gewählt"
"W602_01a",2,"ausgewählt"
"W603_01a",1,"nicht gewählt"
"W603_01a",2,"ausgewählt"
"W604_01a",1,"nicht gewählt"
"W604_01a",2,"ausgewählt"
"W605_01a",1,"nicht gewählt"
"W605_01a",2,"ausgewählt"
"W606_01a",1,"nicht gewählt"
"W606_01a",2,"ausgewählt"
"W607_01a",1,"nicht gewählt"
"W607_01a",2,"ausgewählt"
"W608_01a",1,"nicht gewählt"
"W608_01a",2,"ausgewählt"
"W609_01a",1,"nicht gewählt"
"W609_01a",2,"ausgewählt"
"W610_01a",1,"nicht gewählt"
"W610_01a",2,"ausgewählt"
"W611_01a",1,"nicht gewählt"
"W611_01a",2,"ausgewählt"
"W612_01a",1,"nicht gewählt"
"W612_01a",2,"ausgewählt"
"W613_01a",1,"nicht gewählt"
"W613_01a",2,"ausgewählt"
"W614_01a",1,"nicht gewählt"
"W614_01a",2,"ausgewählt"
"W615_01a",1,"nicht gewählt"
"W615_01a",2,"ausgewählt"
"W616_01a",1,"nicht gewählt"
"W616_01a",2,"ausgewählt"
"W617_01a",1,"nicht gewählt"
"W617_01a",2,"ausgewählt"
"W618_01a",1,"nicht gewählt"
"W618_01a",2,"ausgewählt"
"W619_01a",1,"nicht gewählt"
"W619_01a",2,"ausgewählt"
"W620_01a",1,"nicht gewählt"
"W620_01a",2,"ausgewählt"
"W621_01a",1,"nicht gewählt"
"W621_01a",2,"ausgewählt"
"W622_01a",1,"nicht gewählt"
"W622_01a",2,"ausgewählt"
"W623_01a",1,"nicht gewählt"
"W623_01a",2,"ausgewählt"
"W624_01a",1,"nicht gewählt"
"W624_01a",2,"ausgewählt"
"W625_01a",1,"nicht gewählt"
"W625_01a",2,"ausgewählt"
"W626_01a",1,"nicht gewählt"
"W626_01a",2,"ausgewählt"
"W627_01a",1,"nicht gewählt"
"W627_01a",2,"ausgewählt"
"W628_01a",1,"nicht gewählt"
"W628_01a",2,"ausgewählt"
"W629_01a",1,"nicht gewählt"
"W629_01a",2,"ausgewählt"
"W630_01a",1,"nicht gewählt"
"W630_01a",2,"ausgewählt"
"W701_01a",1,"nicht gewählt"
"W701_01a",2,"ausgewählt"
"W702_01a",1,"nicht gewählt"
"W702_01a",2,"ausgewählt"
"W703_01a",1,"nicht gewählt"
"W703_01a",2,"ausgewählt"
"W704_01a",1,"nicht gewählt"
"W704_01a",2,"ausgewählt"
"W705_01a",1,"nicht gewählt"
"W705_01a",2,"ausgewählt"
"W706_01a",1,"nicht gewählt"
"W706_01a",2,"ausgewählt"
"W707_01a",1,"nicht gewählt"
"W707_01a",2,"ausgewählt"
"W708_01a",1,"nicht gewählt"
"W708_01a",2,"ausgewählt"
"W709_01a",1,"nicht gewählt"
"W709_01a",2,"ausgewählt"
"W710_01a",1,"nicht gewählt"
"W710_01a",2,"ausgewählt"
"W711_01a",1,"nicht gewählt"
"W711_01a",2,"ausgewählt"
"W712_01a",1,"nicht gewählt"
"W712_01a",2,"ausgewählt"
"W713_01a",1,"nicht gewählt"
"W713_01a",2,"ausgewählt"
"W714_01a",1,"nicht gewählt"
"W714_01a",2,"ausgewählt"
"W715_01a",1,"nicht gewählt"
"W715_01a",2,"ausgewählt"
"W716_01a",1,"nicht gewählt"
"W716_01a",2,"ausgewählt"
"W717_01a",1,"nicht gewählt"
"W717_01a",2,"ausgewählt"
"W718_01a",1,"nicht gewählt"
"W718_01a",2,"ausgewählt"
"W719_01a",1,"nicht gewählt"
"W719_01a",2,"ausgewählt"
"W720_01a",1,"nicht gewählt"
"W720_01a",2,"ausgewählt"
"W721_01a",1,"nicht gewählt"
"W721_01a",2,"ausgewählt"
"W722_01a",1,"nicht gewählt"
"W722_01a",2,"ausgewählt"
"W723_01a",1,"nicht gewählt"
"W723_01a",2,"ausgewählt"
"W724_01a",1,"nicht gewählt"
"W724_01a",2,"ausgewählt"
"W725_01a",1,"nicht gewählt"
"W725_01a",2,"ausgewählt"
"W726_01a",1,"nicht gewählt"
"W726_01a",2,"ausgewählt"
"W727_01a",1,"nicht gewählt"
"W727_01a",2,"ausgewählt"
"W728_01a",1,"nicht gewählt"
"W728_01a",2,"ausgewählt"
"W729_01a",1,"nicht gewählt"
"W729_01a",2,"ausgewählt"
"W730_01a",1,"nicht gewählt"
"W730_01a",2,"ausgewählt"
"W731_01a",1,"nicht gewählt"
"W731_01a",2,"ausgewählt"
"W732_01a",1,"nicht gewählt"
"W732_01a",2,"ausgewählt"
"W733_01a",1,"nicht gewählt"
"W733_01a",2,"ausgewählt"
"W734_01a",1,"nicht gewählt"
"W734_01a",2,"ausgewählt"
"W735_01a",1,"nicht gewählt"
"W735_01a",2,"ausgewählt"
"W736_01a",1,"nicht gewählt"
"W736_01a",2,"ausgewählt"
"W737_01a",1,"nicht gewählt"
"W737_01a",2,"ausgewählt"
"W738_01a",1,"nicht gewählt"
"W738_01a",2,"ausgewählt"
"W739_01a",1,"nicht gewählt"
"W739_01a",2,"ausgewählt"
"W740_01a",1,"nicht gewählt"
"W740_01a",2,"ausgewählt"
"W741_01a",1,"nicht gewählt"
"W741_01a",2,"ausgewählt"
"W742_01a",1,"nicht gewählt"
"W742_01a",2,"ausgewählt"
"W743_01a",1,"nicht gewählt"
"W743_01a",2,"ausgewählt"
"W744_01a",1,"nicht gewählt"
"W744_01a",2,"ausgewählt"
"W745_01a",1,"nicht gewählt"
"W745_01a",2,"ausgewählt"
"W746_01a",1,"nicht gewählt"
"W746_01a",2,"ausgewählt"
"W747_01a",1,"nicht gewählt"
"W747_01a",2,"ausgewählt"
"W748_01a",1,"nicht gewählt"
"W748_01a",2,"ausgewählt"
"W749_01a",1,"nicht gewählt"
"W749_01a",2,"ausgewählt"
"W750_01a",1,"nicht gewählt"
"W750_01a",2,"ausgewählt"
"W751_01a",1,"nicht gewählt"
"W751_01a",2,"ausgewählt"
"W752_01a",1,"nicht gewählt"
"W752_01a",2,"ausgewählt"
"W753_01a",1,"nicht gewählt"
"W753_01a",2,"ausgewählt"
"W754_01a",1,"nicht gewählt"
"W754_01a",2,"ausgewählt"
"W755_01a",1,"nicht gewählt"
"W755_01a",2,"ausgewählt"
"W756_01a",1,"nicht gewählt"
"W756_01a",2,"ausgewählt"
"W757_01a",1,"nicht gewählt"
"W757_01a",2,"ausgewählt"
"W758_01a",1,"nicht gewählt"
"W758_01a",2,"ausgewählt"
"W759_01a",1,"nicht gewählt"
"W759_01a",2,"ausgewählt"
"W760_01a",1,"nicht gewählt"
"W760_01a",2,"ausgewählt"
"W761_01a",1,"nicht gewählt"
"W761_01a",2,"ausgewählt"
"W762_01a",1,"nicht gewählt"
"W762_01a",2,"ausgewählt"
"W763_01a",1,"nicht gewählt"
"W763_01a",2,"ausgewählt"
"W764_01a",1,"nicht gewählt"
"W764_01a",2,"ausgewählt"
"W765_01a",1,"nicht gewählt"
"W765_01a",2,"ausgewählt"
"W766_01a",1,"nicht gewählt"
"W766_01a",2,"ausgewählt"
"W767_01a",1,"nicht gewählt"
"W767_01a",2,"ausgewählt"
"W768_01a",1,"nicht gewählt"
"W768_01a",2,"ausgewählt"
"W769_01a",1,"nicht gewählt"
"W769_01a",2,"ausgewählt"
"W770_01a",1,"nicht gewählt"
"W770_01a",2,"ausgewählt"
"W771_01a",1,"nicht gewählt"
"W771_01a",2,"ausgewählt"
"W772_01a",1,"nicht gewählt"
"W772_01a",2,"ausgewählt"
"W773_01a",1,"nicht gewählt"
"W773_01a",2,"ausgewählt"
"W774_01a",1,"nicht gewählt"
"W774_01a",2,"ausgewählt"
"W775_01a",1,"nicht gewählt"
"W775_01a",2,"ausgewählt"
"W776_01a",1,"nicht gewählt"
"W776_01a",2,"ausgewählt"
"W777_01a",1,"nicht gewählt"
"W777_01a",2,"ausgewählt"
"W778_01a",1,"nicht gewählt"
"W778_01a",2,"ausgewählt"
"W779_01a",1,"nicht gewählt"
"W779_01a",2,"ausgewählt"
"W780_01a",1,"nicht gewählt"
"W780_01a",2,"ausgewählt"
"W781_01a",1,"nicht gewählt"
"W781_01a",2,"ausgewählt"
"W782_01a",1,"nicht gewählt"
"W782_01a",2,"ausgewählt"
"W783_01a",1,"nicht gewählt"
"W783_01a",2,"ausgewählt"
"W784_01a",1,"nicht gewählt"
"W784_01a",2,"ausgewählt"
"W785_01a",1,"nicht gewählt"
"W785_01a",2,"ausgewählt"
"W786_01a",1,"nicht gewählt"
"W786_01a",2,"ausgewählt"
"W787_01a",1,"nicht gewählt"
"W787_01a",2,"ausgewählt"
"W788_01a",1,"nicht gewählt"
"W788_01a",2,"ausgewählt"
"W789_01a",1,"nicht gewählt"
"W789_01a",2,"ausgewählt"
"W790_01a",1,"nicht gewählt"
"W790_01a",2,"ausgewählt"
"W791_01a",1,"nicht gewählt"
"W791_01a",2,"ausgewählt"
"W792_01a",1,"nicht gewählt"
"W792_01a",2,"ausgewählt"
"W793_01a",1,"nicht gewählt"
"W793_01a",2,"ausgewählt"
"W794_01a",1,"nicht gewählt"
"W794_01a",2,"ausgewählt"
"W795_01a",1,"nicht gewählt"
"W795_01a",2,"ausgewählt"
"W796_01a",1,"nicht gewählt"
"W796_01a",2,"ausgewählt"
"W797_01a",1,"nicht gewählt"
"W797_01a",2,"ausgewählt"
"W798_01a",1,"nicht gewählt"
"W798_01a",2,"ausgewählt"
"W799_01a",1,"nicht gewählt"
"W799_01a",2,"ausgewählt"
"W801_01a",1,"nicht gewählt"
"W801_01a",2,"ausgewählt"
"W802_01a",1,"nicht gewählt"
"W802_01a",2,"ausgewählt"
"W803_01a",1,"nicht gewählt"
"W803_01a",2,"ausgewählt"
"W804_01a",1,"nicht gewählt"
"W804_01a",2,"ausgewählt"
"W805_01a",1,"nicht gewählt"
"W805_01a",2,"ausgewählt"
"W806_01a",1,"nicht gewählt"
"W806_01a",2,"ausgewählt"
"W807_01a",1,"nicht gewählt"
"W807_01a",2,"ausgewählt"
"W808_01a",1,"nicht gewählt"
"W808_01a",2,"ausgewählt"
"W809_01a",1,"nicht gewählt"
"W809_01a",2,"ausgewählt"
"W810_01a",1,"nicht gewählt"
"W810_01a",2,"ausgewählt"
"W811_01a",1,"nicht gewählt"
"W811_01a",2,"ausgewählt"
"W812_01a",1,"nicht gewählt"
"W812_01a",2,"ausgewählt"
"W813_01a",1,"nicht gewählt"
"W813_01a",2,"ausgewählt"
"W814_01a",1,"nicht gewählt"
"W814_01a",2,"ausgewählt"
"W815_01a",1,"nicht gewählt"
"W815_01a",2,"ausgewählt"
"W816_01a",1,"nicht gewählt"
"W816_01a",2,"ausgewählt"
"W817_01a",1,"nicht gewählt"
"W817_01a",2,"ausgewählt"
"W818_01a",1,"nicht gewählt"
"W818_01a",2,"ausgewählt"
"W819_01a",1,"nicht gewählt"
"W819_01a",2,"ausgewählt"
"W820_01a",1,"nicht gewählt"
"W820_01a",2,"ausgewählt"
"W821_01a",1,"nicht gewählt"
"W821_01a",2,"ausgewählt"
"W822_01a",1,"nicht gewählt"
"W822_01a",2,"ausgewählt"
"W823_01a",1,"nicht gewählt"
"W823_01a",2,"ausgewählt"
"W824_01a",1,"nicht gewählt"
"W824_01a",2,"ausgewählt"
"W825_01a",1,"nicht gewählt"
"W825_01a",2,"ausgewählt"
"W826_01a",1,"nicht gewählt"
"W826_01a",2,"ausgewählt"
"W827_01a",1,"nicht gewählt"
"W827_01a",2,"ausgewählt"
"W828_01a",1,"nicht gewählt"
"W828_01a",2,"ausgewählt"
"W829_01a",1,"nicht gewählt"
"W829_01a",2,"ausgewählt"
"W830_01a",1,"nicht gewählt"
"W830_01a",2,"ausgewählt"
"W831_01a",1,"nicht gewählt"
"W831_01a",2,"ausgewählt"
"W832_01a",1,"nicht gewählt"
"W832_01a",2,"ausgewählt"
"W833_01a",1,"nicht gewählt"
"W833_01a",2,"ausgewählt"
"W834_01a",1,"nicht gewählt"
"W834_01a",2,"ausgewählt"
"W835_01a",1,"nicht gewählt"
"W835_01a",2,"ausgewählt"
"W836_01a",1,"nicht gewählt"
"W836_01a",2,"ausgewählt"
"W837_01a",1,"nicht gewählt"
"W837_01a",2,"ausgewählt"
"W838_01a",1,"nicht gewählt"
"W838_01a",2,"ausgewählt"
"W839_01a",1,"nicht gewählt"
"W839_01a",2,"ausgewählt"
"W840_01a",1,"nicht gewählt"
"W840_01a",2,"ausgewählt"
"W841_01a",1,"nicht gewählt"
"W841_01a",2,"ausgewählt"
"W842_01a",1,"nicht gewählt"
"W842_01a",2,"ausgewählt"
"W843_01a",1,"nicht gewählt"
"W843_01a",2,"ausgewählt"
"W844_01a",1,"nicht gewählt"
"W844_01a",2,"ausgewählt"
"W845_01a",1,"nicht gewählt"
"W845_01a",2,"ausgewählt"
"W846_01a",1,"nicht gewählt"
"W846_01a",2,"ausgewählt"
"W847_01a",1,"nicht gewählt"
"W847_01a",2,"ausgewählt"
"W848_01a",1,"nicht gewählt"
"W848_01a",2,"ausgewählt"
"W849_01a",1,"nicht gewählt"
"W849_01a",2,"ausgewählt"
"W850_01a",1,"nicht gewählt"
"W850_01a",2,"ausgewählt"
"W851_01a",1,"nicht gewählt"
"W851_01a",2,"ausgewählt"
"W852_01a",1,"nicht gewählt"
"W852_01a",2,"ausgewählt"
"W853_01a",1,"nicht gewählt"
"W853_01a",2,"ausgewählt"
"W854_01a",1,"nicht gewählt"
"W854_01a",2,"ausgewählt"
"W855_01a",1,"nicht gewählt"
"W855_01a",2,"ausgewählt"
"W856_01a",1,"nicht gewählt"
"W856_01a",2,"ausgewählt"
"W857_01a",1,"nicht gewählt"
"W857_01a",2,"ausgewählt"
"W858_01a",1,"nicht gewählt"
"W858_01a",2,"ausgewählt"
"W859_01a",1,"nicht gewählt"
"W859_01a",2,"ausgewählt"
"W860_01a",1,"nicht gewählt"
"W860_01a",2,"ausgewählt"
"W861_01a",1,"nicht gewählt"
"W861_01a",2,"ausgewählt"
"W862_01a",1,"nicht gewählt"
"W862_01a",2,"ausgewählt"
"W863_01a",1,"nicht gewählt"
"W863_01a",2,"ausgewählt"
"W864_01a",1,"nicht gewählt"
"W864_01a",2,"ausgewählt"
"W865_01a",1,"nicht gewählt"
"W865_01a",2,"ausgewählt"
"W866_01a",1,"nicht gewählt"
"W866_01a",2,"ausgewählt"
"W867_01a",1,"nicht gewählt"
"W867_01a",2,"ausgewählt"
"W868_01a",1,"nicht gewählt"
"W868_01a",2,"ausgewählt"
"W869_01a",1,"nicht gewählt"
"W869_01a",2,"ausgewählt"
"W870_01a",1,"nicht gewählt"
"W870_01a",2,"ausgewählt"
"W871_01a",1,"nicht gewählt"
"W871_01a",2,"ausgewählt"
"W872_01a",1,"nicht gewählt"
"W872_01a",2,"ausgewählt"
"W873_01a",1,"nicht gewählt"
"W873_01a",2,"ausgewählt"
"W874_01a",1,"nicht gewählt"
"W874_01a",2,"ausgewählt"
"W875_01a",1,"nicht gewählt"
"W875_01a",2,"ausgewählt"
"W876_01a",1,"nicht gewählt"
"W876_01a",2,"ausgewählt"
"W877_01a",1,"nicht gewählt"
"W877_01a",2,"ausgewählt"
"W878_01a",1,"nicht gewählt"
"W878_01a",2,"ausgewählt"
"W879_01a",1,"nicht gewählt"
"W879_01a",2,"ausgewählt"
"W880_01a",1,"nicht gewählt"
"W880_01a",2,"ausgewählt"
"W881_01a",1,"nicht gewählt"
"W881_01a",2,"ausgewählt"
"W882_01a",1,"nicht gewählt"
"W882_01a",2,"ausgewählt"
"W883_01a",1,"nicht gewählt"
"W883_01a",2,"ausgewählt"
"W884_01a",1,"nicht gewählt"
"W884_01a",2,"ausgewählt"
"W885_01a",1,"nicht gewählt"
"W885_01a",2,"ausgewählt"
"W886_01a",1,"nicht gewählt"
"W886_01a",2,"ausgewählt"
"W887_01a",1,"nicht gewählt"
"W887_01a",2,"ausgewählt"
"W888_01a",1,"nicht gewählt"
"W888_01a",2,"ausgewählt"
"W889_01a",1,"nicht gewählt"
"W889_01a",2,"ausgewählt"
"W890_01a",1,"nicht gewählt"
"W890_01a",2,"ausgewählt"
"W891_01a",1,"nicht gewählt"
"W891_01a",2,"ausgewählt"
"W892_01a",1,"nicht gewählt"
"W892_01a",2,"ausgewählt"
"W893_01a",1,"nicht gewählt"
"W893_01a",2,"ausgewählt"
"W894_01a",1,"nicht gewählt"
"W894_01a",2,"ausgewählt"
"W895_01a",1,"nicht gewählt"
"W895_01a",2,"ausgewählt"
"W896_01a",1,"nicht gewählt"
"W896_01a",2,"ausgewählt"
"W897_01a",1,"nicht gewählt"
"W897_01a",2,"ausgewählt"
"W898_01a",1,"nicht gewählt"
"W898_01a",2,"ausgewählt"
"W899_01a",1,"nicht gewählt"
"W899_01a",2,"ausgewählt"
"W901_01a",1,"nicht gewählt"
"W901_01a",2,"ausgewählt"
"W902_01a",1,"nicht gewählt"
"W902_01a",2,"ausgewählt"
"W903_01a",1,"nicht gewählt"
"W903_01a",2,"ausgewählt"
"W904_01a",1,"nicht gewählt"
"W904_01a",2,"ausgewählt"
"W905_01a",1,"nicht gewählt"
"W905_01a",2,"ausgewählt"
"W906_01a",1,"nicht gewählt"
"W906_01a",2,"ausgewählt"
"W907_01a",1,"nicht gewählt"
"W907_01a",2,"ausgewählt"
"W908_01a",1,"nicht gewählt"
"W908_01a",2,"ausgewählt"
"W909_01a",1,"nicht gewählt"
"W909_01a",2,"ausgewählt"
"W910_01a",1,"nicht gewählt"
"W910_01a",2,"ausgewählt"
"W911_01a",1,"nicht gewählt"
"W911_01a",2,"ausgewählt"
"W912_01a",1,"nicht gewählt"
"W912_01a",2,"ausgewählt"
"W913_01a",1,"nicht gewählt"
"W913_01a",2,"ausgewählt"
"W914_01a",1,"nicht gewählt"
"W914_01a",2,"ausgewählt"
"W915_01a",1,"nicht gewählt"
"W915_01a",2,"ausgewählt"
"W916_01a",1,"nicht gewählt"
"W916_01a",2,"ausgewählt"
"W917_01a",1,"nicht gewählt"
"W917_01a",2,"ausgewählt"
"W918_01a",1,"nicht gewählt"
"W918_01a",2,"ausgewählt"
"W919_01a",1,"nicht gewählt"
"W919_01a",2,"ausgewählt"
"W920_01a",1,"nicht gewählt"
"W920_01a",2,"ausgewählt"
"W921_01a",1,"nicht gewählt"
"W921_01a",2,"ausgewählt"
"W922_01a",1,"nicht gewählt"
"W922_01a",2,"ausgewählt"
"W923_01a",1,"nicht gewählt"
"W923_01a",2,"ausgewählt"
"W924_01a",1,"nicht gewählt"
"W924_01a",2,"ausgewählt"
"W925_01a",1,"nicht gewählt"
"W925_01a",2,"ausgewählt"
"W926_01a",1,"nicht gewählt"
"W926_01a",2,"ausgewählt"
"W927_01a",1,"nicht gewählt"
"W927_01a",2,"ausgewählt"
"W928_01a",1,"nicht gewählt"
"W928_01a",2,"ausgewählt"
"W929_01a",1,"nicht gewählt"
"W929_01a",2,"ausgewählt"
"W930_01a",1,"nicht gewählt"
"W930_01a",2,"ausgewählt"
"WR01_01a",1,"nicht gewählt"
"WR01_01a",2,"ausgewählt"
"WR02_01a",1,"nicht gewählt"
"WR02_01a",2,"ausgewählt"
"WR03_01a",1,"nicht gewählt"
"WR03_01a",2,"ausgewählt"
"WR04_01a",1,"nicht gewählt"
"WR04_01a",2,"ausgewählt"
"WR05_01a",1,"nicht gewählt"
"WR05_01a",2,"ausgewählt"
"WR06_01a",1,"nicht gewählt"
"WR06_01a",2,"ausgewählt"
"WR07_01a",1,"nicht gewählt"
"WR07_01a",2,"ausgewählt"
"WR08_01a",1,"nicht gewählt"
"WR08_01a",2,"ausgewählt"
"WR09_01a",1,"nicht gewählt"
"WR09_01a",2,"ausgewählt"
"WR10_01a",1,"nicht gewählt"
"WR10_01a",2,"ausgewählt"
"WR11_01a",1,"nicht gewählt"
"WR11_01a",2,"ausgewählt"
"WR12_01a",1,"nicht gewählt"
"WR12_01a",2,"ausgewählt"
"WR13_01a",1,"nicht gewählt"
"WR13_01a",2,"ausgewählt"
"WR14_01a",1,"nicht gewählt"
"WR14_01a",2,"ausgewählt"
"WR15_01a",1,"nicht gewählt"
"WR15_01a",2,"ausgewählt"
"WR16_01a",1,"nicht gewählt"
"WR16_01a",2,"ausgewählt"
"WR17_01a",1,"nicht gewählt"
"WR17_01a",2,"ausgewählt"
"WR18_01a",1,"nicht gewählt"
"WR18_01a",2,"ausgewählt"
"WR19_01a",1,"nicht gewählt"
"WR19_01a",2,"ausgewählt"
"WR20_01a",1,"nicht gewählt"
"WR20_01a",2,"ausgewählt"
"WR21_01a",1,"nicht gewählt"
"WR21_01a",2,"ausgewählt"
"WR22_01a",1,"nicht gewählt"
"WR22_01a",2,"ausgewählt"
"WR23_01a",1,"nicht gewählt"
"WR23_01a",2,"ausgewählt"
"WR24_01a",1,"nicht gewählt"
"WR24_01a",2,"ausgewählt"
"WR25_01a",1,"nicht gewählt"
"WR25_01a",2,"ausgewählt"
"WR26_01a",1,"nicht gewählt"
"WR26_01a",2,"ausgewählt"
"WR27_01a",1,"nicht gewählt"
"WR27_01a",2,"ausgewählt"
"WR28_01a",1,"nicht gewählt"
"WR28_01a",2,"ausgewählt"
"WR29_01a",1,"nicht gewählt"
"WR29_01a",2,"ausgewählt"
"WR30_01a",1,"nicht gewählt"
"WR30_01a",2,"ausgewählt"
"WR31_01a",1,"nicht gewählt"
"WR31_01a",2,"ausgewählt"
"WR32_01a",1,"nicht gewählt"
"WR32_01a",2,"ausgewählt"
"WR33_01a",1,"nicht gewählt"
"WR33_01a",2,"ausgewählt"
"WR34_01a",1,"nicht gewählt"
"WR34_01a",2,"ausgewählt"
"WR35_01a",1,"nicht gewählt"
"WR35_01a",2,"ausgewählt"
"WR36_01a",1,"nicht gewählt"
"WR36_01a",2,"ausgewählt"
"WR37_01a",1,"nicht gewählt"
"WR37_01a",2,"ausgewählt"
"WR38_01a",1,"nicht gewählt"
"WR38_01a",2,"ausgewählt"
"WR39_01a",1,"nicht gewählt"
"WR39_01a",2,"ausgewählt"
"WR40_01a",1,"nicht gewählt"
"WR40_01a",2,"ausgewählt"
"WR41_01a",1,"nicht gewählt"
"WR41_01a",2,"ausgewählt"
"WR42_01a",1,"nicht gewählt"
"WR42_01a",2,"ausgewählt"
"WR43_01a",1,"nicht gewählt"
"WR43_01a",2,"ausgewählt"
"WR44_01a",1,"nicht gewählt"
"WR44_01a",2,"ausgewählt"
"WR45_01a",1,"nicht gewählt"
"WR45_01a",2,"ausgewählt"
"WR46_01a",1,"nicht gewählt"
"WR46_01a",2,"ausgewählt"
"WR47_01a",1,"nicht gewählt"
"WR47_01a",2,"ausgewählt"
"WR48_01a",1,"nicht gewählt"
"WR48_01a",2,"ausgewählt"
"WR49_01a",1,"nicht gewählt"
"WR49_01a",2,"ausgewählt"
"WR50_01a",1,"nicht gewählt"
"WR50_01a",2,"ausgewählt"
"WR51_01a",1,"nicht gewählt"
"WR51_01a",2,"ausgewählt"
"WR52_01a",1,"nicht gewählt"
"WR52_01a",2,"ausgewählt"
"WR53_01a",1,"nicht gewählt"
"WR53_01a",2,"ausgewählt"
"WR54_01a",1,"nicht gewählt"
"WR54_01a",2,"ausgewählt"
"WR55_01a",1,"nicht gewählt"
"WR55_01a",2,"ausgewählt"
"WR56_01a",1,"nicht gewählt"
"WR56_01a",2,"ausgewählt"
"WR57_01a",1,"nicht gewählt"
"WR57_01a",2,"ausgewählt"
"WR58_01a",1,"nicht gewählt"
"WR58_01a",2,"ausgewählt"
"WR59_01a",1,"nicht gewählt"
"WR59_01a",2,"ausgewählt"
"WR60_01a",1,"nicht gewählt"
"WR60_01a",2,"ausgewählt"
"WR61_01a",1,"nicht gewählt"
"WR61_01a",2,"ausgewählt"
"WR62_01a",1,"nicht gewählt"
"WR62_01a",2,"ausgewählt"
"WR63_01a",1,"nicht gewählt"
"WR63_01a",2,"ausgewählt"
"WR64_01a",1,"nicht gewählt"
"WR64_01a",2,"ausgewählt"
"WR65_01a",1,"nicht gewählt"
"WR65_01a",2,"ausgewählt"
"WR66_01a",1,"nicht gewählt"
"WR66_01a",2,"ausgewählt"
"WR67_01a",1,"nicht gewählt"
"WR67_01a",2,"ausgewählt"
